cell,PC1,PC2,tsne1,tsne2,knn_all,knn_pca,knn_svd,lnIC50_mean
RKO,-7.653596668963537,4.193845654506013,2.2157514,-18.9829,3,2,2,2.015188427027027
RL95-2,-2.573207726005756,-1.0686836700374485,4.214363,10.363664,1,1,1,2.3020503016759775
RMG-I,11.187061962125465,1.5147974935513362,-23.917019,12.635615,4,3,3,3.418808980392157
RO82-W-1,39.52077385522856,-3.9408812158288313,-21.130537,37.31324,0,0,0,5.444560105555556
RPMI-6666,-20.524492955520376,0.7097017387920487,26.383976,-25.932594,2,4,4,1.0540877977528094
RPMI-7951,-12.632765333793236,0.5767178447933343,9.885087,-18.234032,3,2,2,1.6514228994413407
RPMI-8226,-16.41170753919146,-1.1609504768886798,21.817234,-20.451504,2,4,4,1.3925749944134076
RPMI-8402,-14.29609563344755,-1.818721699768312,9.626844,-26.817415,3,2,2,0.3253720792079207
RPMI-8866,-15.179646493505018,0.42599090205919443,18.782034,-18.322779,2,4,4,1.228772850393701
RS4-11,-20.923126393806633,-6.429452566607597,24.485373,-23.003103,2,4,4,1.1186898324022347
RT-112,-4.658387806280289,2.273302844772269,15.926001,1.2177289,3,2,2,2.162380283333333
RT4,1.7394476372083054,0.9352883746022651,-21.19977,6.07791,1,1,1,2.6405668715083803
RXF393,2.2978544605729425,1.2378570284973,-7.1923842,5.5286794,1,1,1,3.2464208210526313
Raji,-15.359221889143388,-1.9450222039052354,12.220343,-17.319014,2,4,4,1.5220133966480445
Ramos-2G6-4C10,-11.38040820352354,-3.6516089528883446,20.670591,-13.40159,3,2,2,1.6551950960451978
